feature_id,log2_fold_change,average_expression,moderated_t,p_value,fdr_bh,B,direction_robust,log2_fold_change_leave_out_EC,log2_fold_change_leave_out_FC,log2_fold_change_leave_out_TC,entrez_id,mapping_status
2320581,-0.0867830449002511,8.10174755868545,-1.04619417501016,0.296694007857478,0.714813026154877,-5.26786216651055,True,-0.0576722901593563,-0.131776419029343,-0.0709004255120522,5351,unique_entrez_id
2320619,-0.0250361270760457,9.45870079812207,-0.315094063888947,0.753008297662599,0.922908609676542,-5.71810762020138,False,0.0365069516153582,-0.0658408313173631,-0.0457745015261306,9927,unique_entrez_id
2320657,-0.242073936049421,7.51583492957746,-3.02169054768265,0.00283138525186552,0.194573892899713,-1.71692726623114,True,-0.237188928690469,-0.233143958736225,-0.255888920721569,102466982;60672,ambiguous_multiple_entrez
2320683,-0.0666950894461031,7.19198741784038,-0.727007411450468,0.468044491680963,0.800724957748303,-5.52362146628578,True,-0.106644753831239,-0.00123392780200327,-0.0922065867050712,943,unique_entrez_id
2320727,-0.235205156818751,7.27061253521127,-2.25625728525193,0.0251018030777146,0.404011199753804,-3.48354118565246,True,-0.224307289265749,-0.24272307387924,-0.238585107311266,7133,unique_entrez_id
2320762,0.163474860567209,8.86790582159624,1.44397669246626,0.150260475303236,0.617773496636016,-4.82208379555437,True,0.192410688009042,0.111663327646564,0.186350566046025,55187,unique_entrez_id
2321011,-0.0797525508759493,4.5658196713615,-0.760925537529347,0.447569259089403,0.791431779740794,-5.50078463346032,True,-0.0366543118463527,-0.0832239974483082,-0.119379343333192,93190,unique_entrez_id
2321040,-0.103967266708442,3.23097328638498,-0.442327394438414,0.658715456600395,0.885914603873933,-5.67440598778369,True,-0.0270966042683862,-0.0567919801371199,-0.228013215719821,400736;65121;729528,ambiguous_multiple_entrez
2321058,-0.152544951158945,5.08391023474178,-1.13917525664599,0.255950141441655,0.693989403533802,-5.1762259400293,True,-0.0939415354942748,-0.128997080868856,-0.234696237113709,65121;65122;729528,ambiguous_multiple_entrez
2321182,-0.20629459489276,6.8450972769953,-1.7415853796378,0.0830699632472972,0.542889834036894,-4.39760080511975,True,-0.0734465078031095,-0.286964101906352,-0.258473174968821,10630,unique_entrez_id
2321238,0.104133113934036,7.93543605633803,1.06809504309249,0.286724230546808,0.709119673962005,-5.24697156118484,True,0.0900475596177994,0.101350918962044,0.121000863222266,23254;7799,ambiguous_multiple_entrez
2321466,-0.0668374562235261,8.1455365258216,-1.10721564774692,0.26948832057364,0.702084695288694,-5.20859187309422,True,-0.0503596601432186,-0.0816957838020755,-0.0684569247252824,23254,unique_entrez_id
2321607,0.00633810890902353,6.56772568075117,0.0720216937496133,0.942654326281445,0.985127925922556,-5.76080015560782,False,0.0190362851862345,-0.0505916204067498,0.0505696619475966,23254,unique_entrez_id
2321645,-0.030876503538467,5.64063920187793,-0.361223442357674,0.718301582928706,0.911883720100784,-5.70395752589734,False,-0.043247534379681,0.0232093493531735,-0.0725913255888937,55092,unique_entrez_id
2321779,-0.0839250908263498,8.65022943661972,-0.856986051976631,0.392445683791331,0.767285824084693,-5.43049623306618,True,-0.119981630818183,-0.040174886860699,-0.0916187548001677,79180,unique_entrez_id
2321797,-0.121068834816795,6.37213816901408,-1.27368958339876,0.204204700799759,0.663205651790384,-5.03006185890779,True,-0.161465287566116,-0.0833256760600891,-0.118415540824183,11330,unique_entrez_id
2321813,-0.136589775689898,5.88559516431925,-1.21912924620758,0.224185416618893,0.67548610418911,-5.09128171895042,True,-0.120016429888587,-0.0871813501295096,-0.202571547051606,51032;63036,ambiguous_multiple_entrez
2321828,-0.112903899250334,5.7998882629108,-1.07637386001207,0.283015556949207,0.709020649215683,-5.23896327008717,True,-0.141927379743271,-0.0858872279297893,-0.110897090077949,51032,unique_entrez_id
2321849,0.087520297985904,7.79728169014084,0.75929705777197,0.448540541406803,0.791736247094092,-5.50190463766567,True,0.152428247305572,0.0260467004381351,0.0840859462140031,23341,unique_entrez_id
2321911,0.0191910723267332,7.58586037558685,0.189676226638482,0.849749096607002,0.957046022541484,-5.74682819342523,False,0.0588947531978601,-0.0412983931151709,0.0399768568975176,84301,unique_entrez_id
2321942,0.245266106173549,8.05278535211268,1.89876506325026,0.0589899204530816,0.506210100344883,-4.14242874731546,True,0.253914112976013,0.21776910426455,0.264115101280064,6248;84301,ambiguous_multiple_entrez
2321960,-0.138552413788595,9.48197582159624,-1.4134413486391,0.159031114093896,0.62743033739393,-4.86125678770766,True,-0.142817453564813,-0.152407713213675,-0.120432074587287,23207,unique_entrez_id
2322004,-0.0655799778281745,7.05287600938967,-1.02457703377208,0.306761109965183,0.721992813092766,-5.28806257524118,True,-0.0983314135191833,-0.0310554922762574,-0.0673530276890801,284723,unique_entrez_id
