"go_id","NGenes","full_direction","full_p_value","full_fdr","direction_leave_out_EC","direction_leave_out_FC","direction_leave_out_TC","directionally_stable"
"GO:0003180",31,"Up",0.454148181212219,0.798431645618016,"Up","Up","Up",FALSE
"GO:0006855",15,"Up",0.456327331105692,0.798431645618016,"Up","Up","Up",FALSE
"GO:0007157",39,"Down",0.456366895324862,0.798431645618016,"Down","Down","Down",FALSE
"GO:0008361",22,"Up",0.454355170135344,0.798431645618016,"Up","Up","Up",FALSE
"GO:0010629",207,"Up",0.455647008782407,0.798431645618016,"Up","Up","Up",FALSE
"GO:0030501",36,"Up",0.451749984845699,0.798431645618016,"Up","Up","Up",FALSE
"GO:0031018",14,"Down",0.455546101294241,0.798431645618016,"Down","Down","Down",FALSE
"GO:0031529",12,"Down",0.456387471507582,0.798431645618016,"Down","Down","Down",FALSE
"GO:0042059",14,"Down",0.453310385269508,0.798431645618016,"Down","Down","Down",FALSE
"GO:0045943",20,"Up",0.454470035840235,0.798431645618016,"Up","Down","Up",FALSE
"GO:0048545",20,"Down",0.455227902067332,0.798431645618016,"Down","Down","Down",FALSE
"GO:0060041",51,"Up",0.453224083482051,0.798431645618016,"Up","Up","Up",FALSE
"GO:0060287",11,"Up",0.452839071945016,0.798431645618016,"Up","Up","Up",FALSE
